question,error,domain,country,organization_name,confidence,pretty_citations
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in MALTA?",,JUSTICE,MALTA,Ministry for Justice,ConfidenceLevel.HIGH,"[1] Ministry of justice - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_justice) - Published: 2004-08-01 
    A ministry or other government agency in charge of the administration of justice. The ministry or department is often headed by a minister of justice.

[2] Ministry For Justice - Govdirectory (https://www.govdirectory.org/malta/Q119992539/) - Published: 2025-10-12 
    Ministry For Justice. government ministry in Malta. Official website: justice.gov.mt/; Phone: +356-2327-9000; Led by: [missing data] ...

[3] List of justice ministers of Malta - Wikipedia (https://en.wikipedia.org/wiki/List_of_justice_ministers_of_Malta) - Published: 2024-08-16 
    List of justice ministers of Malta ; 1, Giovanni Felice (1899–1977) ; 2, Tommaso Caruana Demajo (1910–1973) ; 3, Anton Buttigieg (1912–1983) ; 4, Ġ..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in ERITREA?",,JUSTICE,ERITREA,Ministry of Justice of Eritrea,ConfidenceLevel.HIGH,"[1] Ministry of Justice (Eritrea) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_(Eritrea)) - Published: 2025-03-16 
    The Ministry of Justice of Eritrea assumes responsibilities such as the following: drafting new laws, regulating the admission and directives of th...

[2] Services - Eritrea – Ministry Of Justice (https://mojeritrea.net/services/) - Published: 2024-04-01 
    These services are Legal Services, Services to provide Access to Justice as well as Research and Documentation Services.

[3] Eritrea & Its Ministries – Justice (https://www.eritreadigest.com/eritrea-its-ministries-justice/) - Published: 2025-10-22 
    Eritrea's Ministry of Justice is headed by Ms Fawzia Hashem, who has held the position since it was created.

[4] Introduction to Eritrean Legal System and Research - Globalex (https://www.nyulawglobal.org/globalex/eritrea1.html) - Published: 1997-05-23 
    [50] In May 2015, the Ministry of Justice established the Supreme Court of Eritrea as the highest court. The role of the Supreme Court in the devel...

[5] ️Ministry of Justice (Eritrea) — Government Body from Eritrea (https://www.developmentaid.org/organizations/view/196594/ministry-of-justice-eritrea) 
    The Ministry of Justice of Eritrea assumes responsibilities such as the following: drafting new laws, regulating the admission and directives of th...

[6] 2022 Country Reports on Human Rights Practices: Eritrea (https://www.state.gov/reports/2022-country-reports-on-human-rights-practices/eritrea) 
    All judges were appointed by the Ministry of Justice, but rural communities had the right to elect reconciliation committees from a prearranged lis...

[7] Eritrea – Ministry Of Justice (https://mojeritrea.net) - Published: 2023-05-01 
    The Ministry of Justice offers a range of services to the public and to other government institutions in support to its mission and mandates."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in CAMEROON?",,JUSTICE,CAMEROON,Ministry of Justice of Cameroon,ConfidenceLevel.HIGH,"[1] Ministry of Justice of Cameroon - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_of_Cameroon) - Published: 2004-12-15 
    The Ministry of Justice of Cameroon is the Department responsible for administering the Cameroon justice system. As of May 2004, the Minister of St...

[2] Cameroon | Judiciaries Worldwide - Federal Judicial Center | (http://judiciariesworldwide.fjc.gov/country-profile/cameroon) - Published: 2025-05-01 
    The Ministry of Justice has supervisory authority over the judiciary. It exercises formal oversight of the budget, court administrative needs, the ...

[3] Working with the Ministry of Justice - Minjustice (http://197.159.3.34/index.php/en/professions-and-competitive-examinations/working-with-the-ministry-of-justice) 
    This website is the official channel for disseminating information from the Ministry of Justice of Cameroon · Civil Matters · Cooperation · Human R...

[4] Home - Minjustice (http://197.159.3.34/index.php/en/91-index-categories-en/missions/human-rights) 
    This website is the official channel for disseminating information from the Ministry of Justice of Cameroon · Institution. Background · Ministers ·...

[5] People's Representatives at the Ministry of Justice - celcom minjustice (https://minjustice.cm/peoples-representatives-at-the-ministry-of-justice/) - Updated: 2025-03-20 
    The delegation which totalled 6 persons was comprised of the Vice-President DATOUO, Honourable NGOKO and the mayors of Bamendjou, Baham, Bangou and...

[6] Republic of Cameroon - Minjustice (http://www.minjustice.gov.cm/index.php/en/) - Published: 2017-06-07 
    FONKWE Joseph FONGANG, appointed Secretary General of the Ministry of Justice by Decree No. 2017/270 of 7 June 2017 of the President of the Republi...

[7] ESSO Laurent | Prime Minister's Office - Services du Premier Ministre (https://www.spm.gov.cm/site/?q=en%2Fcontent%2Fesso-laurent) 
    THE MINISTER OF JUSTICE AND KEEPER OF THE SEALS is responsible for: - drafting laws and regulations on nationality, rules governing the conflict of...

[8] Report of the Ministry of Justice on human rights in Cameroon in 2022 (https://www.spm.gov.cm/site/?q=en%2Fcontent%2Freport-ministry-justice-human-rights-cameroon-2022) 
    Report of the Ministry of Justice on human rights in Cameroon in 2022. Download the full report. Government. Prime Minister. Head of Government.

[9] Ministry of Justice of Cameroon - Govdirectory (https://www.govdirectory.org/cameroon/Q6867324/) - Published: 2025-09-27 
    Ministry of Justice of Cameroon · Official website: www.minjustice.gov.cm · Phone: [missing data] · Led by: Laurent Esso · Main regulatory text: ..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in SOLOMON  ISLANDS?",,JUSTICE,SOLOMON  ISLANDS,Ministry of Justice and Legal Affairs,ConfidenceLevel.HIGH,"[1] Ministry of Justice and Legal Affairs – My SIG Services Portal (https://solomons.gov.sb/ministry-of-justice-and-legal-affairs/) - Updated: 2024-09-27 
    The Ministry oversees the review and updating of laws, and formation of legal policy to meet the needs of the Solomon Islands people. The Ministry'...

[2] Ministry of Justice and Legal Affairs (Solomon Islands) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_and_Legal_Affairs_(Solomon_Islands)) - Published: 2018-07-12 
    The Ministry of Justice and Legal Affairs of Solomon Islands is a department of the government of the Solomon Islands.

[3] Solomon Islands Justice Minister Strengthens Ties with Vanuatu ... (https://mjcs.gov.vu/index.php/news/285-solomon-islands-justice-minister-strengthens-ties-with-vanuatu-counterpart) - Published: 2025-09-08 
    The Solomon Islands Minister for Justice, Hon. Clezy Rore, paid a courtesy visit today to Vanuatu's Minister for Justice, Hon. Job Andy, ...

[4] Fiji and Solomon Islands Strengthen Legal Cooperation Through ... (https://www.justice.gov.fj/fiji-and-solomon-islands-strengthen-legal-cooperation-through-mou-signing/) - Published: 2025-02-18 
    The Ministry for Justice of Fiji and the Ministry for Justice and Legal Affairs of Solomon Islands have officially signed a Memorandum of Understan...

[5] Accessing Justice in Solomon Islands (https://www.undp.org/pacific/accessing-justice-solomon-islands) - Updated: 2025-01-16 
    In this episode, we speak to Dr Paul Mae, Permanent Secretary of the Ministry of Justice and Legal Affairs and Mr George Gray, Public Solicitor.

[6] Ministry of Justice and Legal Affairs – My SIG Services Portal (https://solomons.gov.sb/category/mjla/) - Updated: 2024-08-14 
    OFFICE OF THE PUBLIC SOLICITOR HEAD OFFICE: PO BOX 553, HONIARA, SOLOMON ISLANDS Tel: (677) 22348/28406/28404/28405 Fax: (677) 28409 Email: GGray@p...

[7] Publication: Justice Delivered Locally : Systems, Challenges, and ... (https://openknowledge.worldbank.org/entities/publication/e38ec0f9-b64b-5c2f-b32d-59e970742138) - Published: 2013-08-04 
    This report presents the research findings of the Justice Delivered Locally (JDL) initiative of Solomon Islands' Ministry of Justice and Legal Affa..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in PANAMA?",,JUSTICE,PANAMA,Ministry of Government and Justice,ConfidenceLevel.MEDIUM,"[1] Panama | Center for the Administration of Justice - FIU (https://caj.fiu.edu/national-cj-systems/central-america/panama/) - Published: 2001-01-01 
    The Judicial branch is headed by the Supreme Court of Justice, formed by 9 Justices. They hear jointly constitutionality cases, while groups of 3 J...

[2] [PDF] description and general explanation of the system of (https://www.oas.org/ext/Portals/33/Files/MLA/Panam_ajm_gen_eng_1.pdf) - Updated: 2025-09-13 
    Based on this premise, the. Republic of Panama has signed different types of agreements for mutual legal assistance in criminal matters. The Republ...

[3] ️Ministry of Government of Panama/ Ministerio de Gobierno ... (https://www.developmentaid.org/organizations/view/162012/mingob) 
    The Ministry of Government and Justice of Panama (later the Ministry of Government) determines government policies and plans, as well as coordinate...

[4] ️Ministerio de Gobierno y Justicia (Panama) - DevelopmentAid (https://www.developmentaid.org/organizations/view/175479/ministerio-de-gobierno-y-justicia-panama) - Published: 2023-05-25 
    The Panamanian Ministry of Government and Justice establishes government policies and programs, coordinates, directs, and exerts ...

[5] Panama - HCCH | Authority (https://www.hcch.net/en/states/authorities/details3/?aid=338) - Published: 2025-09-17 
    Secretaría General de la Corte Suprema de Justicia Primer Piso, Palacio Gil Ponce, edificios 224 y 236 · Dirección de Servicios Administrativos del...

[6] Panama Judicial Assistance Information - Travel.gov (https://travel.state.gov/content/travel/en/legal/Judicial-Assistance-Country-Information/Panama.html) - Published: 2024-09-23 
    List of Attorneys, Service of Process, Criminal Matters, Obtaining Evidence in Civil and Commercial Matters, Taking Voluntary Depositions of Willin...

[7] The Rule of Law in Panama - World Justice Project (https://worldjusticeproject.org/our-work/research-and-data/rule-of-law/panama-2022) - Published: 2023-01-01 
    This report presents perceptions and experiences of authoritarianism, corruption and trust, security and criminal justice, access to justice, and m...

[8] Ministry of Government and Justice (Panama) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Government_and_Justice_(Panama)) - Published: 2024-08-29 
    The Ministry of Government and Justice of Panama (later the Ministry of Government) determines government policies and plans, as well as coordinate...

[9] Government Authorities — EOP - Embassy of Panama (https://www.embassyofpanama.org/government-authorities) - Published: 2019-01-01 
    Supreme Court of Justice. Contact Information: +507 212-7300. http://www.organojudicial.gob.pa. Subscribe. Sign up with your email address to recei...

[10] ADMINISTRATION OF JUSTICE IN PANAMA, REALITY ... (https://www.ojp.gov/ncjrs/virtual-library/abstracts/administration-justice-panama-reality-problems-and-avenues-reform) - Updated: 2025-05-19 
    THE TWO-FOLD FUNCTION OF THE ADMINISTRATION OF JUSTICE IN PANAMA IN PROVIDING JUSTICE FOR INDIVIDUAL CITIZENS WHILE PRESERVING THE INSTITUTIONAL ST..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in IRELAND?",,JUSTICE,IRELAND,"Department of Justice, Home Affairs and Migration",ConfidenceLevel.HIGH,"[1] Department of Justice, Home Affairs and Migration - Wikipedia (https://en.wikipedia.org/wiki/Department_of_Justice,_Home_Affairs_and_Migration) - Published: 2005-11-21 
    The department's mission is to maintain and enhance community security and to promote a fairer society in Ireland.

[2] Department of Justice (Northern Ireland) - Wikipedia (https://en.wikipedia.org/wiki/Department_of_Justice_(Northern_Ireland)) - Published: 2008-11-19 
    The Department of Justice is a government department in the Northern Ireland Executive, which was established on 12 April 2010 as part of the devol...

[3] Home | Department of Justice (https://www.justice-ni.gov.uk) - Published: 2025-10-20 
    The Department is headed by a Justice Minister Naomi Long and has four Directorates - Access to Justice, Safer Communities, Justice Delivery and Re...

[4] Justice - Government of Ireland (https://www.gov.ie/en/topics/justice/) - Published: 2025-04-12 
    The Department of Justice works to advance community and national security, promote justice and equality and safeguard human rights.

[5] Justice.ie (https://www.justice.ie) - Published: 2024-10-04 
    No information is available for this page. · Learn why

[6] Department of Justice, Home Affairs and Migration (https://www.gov.ie/en/department-of-justice-home-affairs-and-migration/) - Published: 2025-05-02 
    Address: 51 St Stephen's Green, Dublin 2, D02 HK52. Website: http://www.gov.ie/justice/. Email: info@justice.ie. Telephone: 00 353 1 602 8202;"
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in UNITED KINGDOM?",,JUSTICE,UNITED KINGDOM,Ministry of Justice,ConfidenceLevel.HIGH,"[1] About us - Ministry of Justice - GOV.UK (https://www.gov.uk/government/organisations/ministry-of-justice/about) - Published: 2024-07-16 
    The Ministry of Justice is a major government department, at the heart of the justice system. We work to protect and advance the principles of just...

[2] Ministry of Justice - GOV.UK (https://www.gov.uk/government/organisations/ministry-of-justice) - Published: 2025-10-22 
    The Ministry of Justice is a major government department, at the heart of the justice system. We work to protect and advance the principles of just...

[3] Justice Digital – How the Ministry of Justice is ... - GOV.UK blogs (https://mojdigital.blog.gov.uk) - Published: 2025-10-14 
    How the Ministry of Justice is transforming the justice system using digital services and technology: news, updates and comment.

[4] Justice UK (https://www.justice.gov.uk) - Published: 2011-12-14 
    Justice on GOV.UK. This website now hosts Civil and Family Procedure Committee Rules content only. You will be automatically redirected to equivale...

[5] Ministry of Justice (United Kingdom) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_(United_Kingdom)) - Published: 2007-03-29 
    The Ministry of Justice (MoJ) is a ministerial department of the Government of the United Kingdom. It is headed by the Secretary of State for Justi..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in ANTIGUA AND BARBUDA?",,JUSTICE,ANTIGUA AND BARBUDA,"Ministry of Legal Affairs, Public Safety, Immigration and Labour",ConfidenceLevel.HIGH,"[1] Ministry of Justice and Legal Affairs (https://legalaffairs.gov.ag) - Published: 2018-09-05 
    We seek to consistently deliver proficient and relevant legal services, sound legal advice, skilled advocacy and progressive legislative agenda.

[2] Ministry of Legal Affairs, Public Safety, Immigration and Labour (https://en.wikipedia.org/wiki/Ministry_of_Legal_Affairs,_Public_Safety,_Immigration_and_Labour) - Published: 2018-07-12 
    The Ministry of Legal Affairs, Public Safety, Immigration and Labour is a ministerial department of the government of Antigua and Barbuda.

[3] Ministry of Legal Affairs, Public Safety, Immigration and Labour (https://ab.gov.ag/detail_page.php?page=14) - Updated: 2025-09-14 
    PERMANENT SECRETARY: Mrs. Hildred Simpson (Legal Affairs, Immigration) New Govt Office Complex Upstairs Ministry of Finance Parliament Drive

[4] Attorney General's Office and Ministry of Justice and Legal Affairs (https://www.gov.kn/attorney-generals-office-and-ministry-of-justice-and-legal-affairs/) - Published: 2025-01-01 
    The Honourable Senator GARTH LUCIEN WILKIN, Attorney-General and Minister of Justice and Legal Affairs. Senator Garth Lucien Wilkin was sworn in as...

[5] Contact Ministry of Legal Affairs - The Laws of Antigua and Barbuda (https://laws.gov.ag/contact/) 
    Address: Government Complex, Queen Elizabeth Highway, St. John's, Antigua. ; Telephone: (268) 462-0017/19 ; Fax: (268) 462-2465 ; Email: legalaffai...

[6] The Laws of Antigua and Barbuda: laws.gov.ag (https://laws.gov.ag) - Published: 2025-01-01 
    All of the laws passed within Antigua and Barbuda are now online. If there is an inquiry regarding any piece of legislation an email may be sent to...

[7] Legislative - Guide to Law Online: Antigua and Barbuda (https://guides.loc.gov/law-antigua-barbuda/legislative) - Published: 2025-08-20 
    Antigua and Barbuda Official Gazette · (Ministry of Justice and Legal Affairs) ; Antigua and Barbuda Laws · (Ministry of Justice and Legal Affairs)."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in ESTONIA?",,JUSTICE,ESTONIA,Ministry of Justice and Digital Affairs,ConfidenceLevel.HIGH,"[1] ️Ministry of Justice (Estonia) - Development Aid (https://www.developmentaid.org/organizations/view/162974/ministry-of-justice-estonia) - Published: 2025-08-28 
    The main duty of the Ministry of Justice is to plan and to carry out a legal and criminal policy of the state, which will help ensure an ...

[2] Ministry of Justice and Digital Affairs (Estonia) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_and_Digital_Affairs_(Estonia)) - Published: 2007-09-24 
    The Ministry is responsible for providing support to the court system and providing legal focus in proposing new laws.

[3] Estonia - Central Authority & practical information - HCCH (https://www.hcch.net/en/states/authorities/details3/?aid=409) - Published: 2025-04-14 
    Address: Ministry of Justice and Digital Affairs Suur-Ameerika 1, 10122 Tallinn Estonia. Telephone: +372 6 208 186.

[4] Estonia – The Judiciary Map (https://judiciaryhub.eu/country/estonia/) - Published: 2023-01-02 
    Ministry of Justice. Governs county, administrative and circuit courts (courts of the first instance and appeal). · Council of Administration of Co...

[5] Ministry of Justice and Digital Affairs Estonia - CEP – Probation (https://www.cep-probation.org/members/ministry-of-justice-estonia/) - Published: 2024-06-01 
    Keep up to date with important probation developments and insights. Topics.

[6] Home page | Ministry of Justice and Digital Affairs (https://www.justdigi.ee/en) - Published: 2000-01-01 
    Liisa-Ly Pakosta is the Minister of Justice and Digital Affairs of the Republic of Estonia from 23 July2024. She is a member of the Eesti200 Party."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in SOMALIA?",,JUSTICE,SOMALIA,Ministry of Justice and Constitutional Affairs,ConfidenceLevel.HIGH,"[1] Ministry of Justice and Judiciary Affairs (Somalia) - Devex (https://www.devex.com/organizations/ministry-of-justice-and-judiciary-affairs-somalia-127750) - Updated: 2025-07-04 
    The responsibility of the Ministry is to promote democracy, good governance and human rights through the development of policies and programs that ...

[2] Ministry of Justice (https://moj.govsomaliland.org) - Published: 2025-09-18 
    The vision of the Ministry of Justice is a secure and peaceful Somaliland where the rule of law prevails and justice is accessible to all.

[3] MOJ – Ministry of Justice (https://moj.sw.so) - Published: 2023-04-03 
    The Ministry of Justice & Judiciary is mandated to formulate and implement policies, strategies and programs for supporting , law reform, human rig...

[4] Ministries - Federal Republic of Somalia (https://www.somalia.gov.so/government/ministries) - Published: 2022-01-01 
    Ministry of Justice and Constitution. The Ministry of Justice and Constitutional Affairs (MOJCA) of the Federal Government of Somalia is the lead i...

[5] News & Announcements - Ministry of Justice and Constitutional Affairs (https://moj.gov.so/news-and-announcements/) 
    Stay informed on the latest developments, press releases, legal reforms, and activities from the Ministry of Justice and Constitutional Affairs.

[6] Ministry of Justice and Constitutional Affairs: Home (https://moj.gov.so) - Published: 2025-05-06 
    Our Vision. To uphold justice, strengthen the rule of law, and deliver a Constitution that empowers all Somalis through transparent and inclusive g..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in CANADA?",,JUSTICE,CANADA,Department of Justice,ConfidenceLevel.HIGH,"[1] Department of Justice (Canada) - Wikipedia (https://en.wikipedia.org/wiki/Department_of_Justice_(Canada)) - Published: 2004-01-26 
    The Department of Justice works to ensure that Canada's justice system is as fair, accessible and efficient as possible.

[2] Home Page - Department of Justice Canada (https://www.justice.gc.ca/eng/) - Published: 2025-08-28 
    The Department of Justice has the mandate to support the dual roles of the Minister of Justice and the Attorney General of Canada.

[3] Department of Justice Canada | Ministère de la Justice Canada (https://www.justice.gc.ca) - Published: 2015-01-01 
    Department of Justice / Ministère de la Justice. Government of Canada / Gouvernement du Canada. Department of Justice. English. Ministère de la Jus...

[4] Department of Justice Canada - YouTube (https://www.youtube.com/user/JusticeCanadaEn) - Published: 2025-03-24 
    The Department of Justice Canada works to ensure a fair, accessible, and efficient system of justice for all Canadians.

[5] Department of Justice Canada - Canada.ca (https://www.canada.ca/en/department-justice.html) - Published: 2025-09-17 
    The Department of Justice has the mandate to support the dual roles of the Minister of Justice and the Attorney General of Canada."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in PAPUA NEW GUINEA?",,JUSTICE,PAPUA NEW GUINEA,Department of Justice and Attorney General,ConfidenceLevel.HIGH,"[1] Papua New Guinea | Judiciaries Worldwide - Federal Judicial Center | (http://judiciariesworldwide.fjc.gov/country-profile/papua-new-guinea) - Published: 2022-07-01 
    It is an independent commission chaired by the Minister for Justice; its members include the Chief Justice, Deputy Chief Justice, Chief Ombudsman, ...

[2] Department of Justice and Attorney General (https://justice.gov.pg) - Published: 2023-10-11 
    The Department of Justice and Attorney General (DJAG) is the lead agency in the Law & Justice Sector in the country and is one of the complex ...

[3] Contact (https://news.slos.gov.pg/contact-us/) - Published: 2022-07-01 
    SLOS/Law & Justice Sector Secretariat, Department of Justice & Attorney General, PO Box 591 West New Britain Haus – Level 7 Independence Drive, Sec...

[4] OHCHR in Papua New Guinea (https://www.ohchr.org/en/countries/papua-new-guinea/our-presence) - Published: 2004-02-01 
    The UN Human Rights Adviser's Unit (HRAU) in Papua New Guinea provides advice to the UN Country Team in Papua New Guinea on critical human rights i...

[5] Ministry for Justice - Department of Justice and Attorney General (https://www.justice.gov.pg/index.php/en/ministry-for-justice) - Published: 2024-01-01 
    Office of the Attorney General AG Office, Office of the Official Trustee, State Trustee for deceased individuals benefits and assets.

[6] Ministry of Justice (Papua New Guinea) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_(Papua_New_Guinea)) - Published: 2025-03-18 
    The Ministry of Justice of Papua New Guinea and Department of Justice & Attorney General acts as the principal advisor to the government on all leg...

[7] Judges - PNG Judiciary (https://www.pngjudiciary.gov.pg/about-the-courts/judges) - Published: 2020-01-07 
    The National and Supreme Court of Papua New Guinea is composed of the Chief Justice, Deputy Chief Justice and 41 Judges"
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in UNITED STATES?",,JUSTICE,UNITED STATES,United States Department of Justice,ConfidenceLevel.HIGH,"[1] Department of Justice Organizational Structure - How to Create One (https://www.organimi.com/department-of-justice-organizational-structure/) - Published: 2025-06-05 
    The Department of Justice's organizational structure outlines how the Department is arranged, including its hierarchy, divisions, and reporting rel...

[2] United States Department of Justice - Wikipedia (https://en.wikipedia.org/wiki/United_States_Department_of_Justice) - Published: 2002-05-20 
    Office of the Attorney General · Office of the Deputy Attorney General · Office of the Associate Attorney General. Office of the United States Prin...

[3] What Is The Structure Of The Department Of Justice? - YouTube (https://www.youtube.com/watch?v=tmziDziZSa8) - Published: 2023-10-02 
    What Is The Structure Of The Department Of Justice? Dive into the intricate workings of the United States Department of Justice (DOJ) with ...

[4] Organizational Chart (Text version) - Department of Justice (https://www.justice.gov/agencies/organizational-chart-text-version) - Published: 2025-09-22 
    Organizational Chart (Text version) · Solicitor General · Associate Attorney General · Office of Legislative Affairs · Office of Legal Counsel.

[5] Grid/Map View | United States Department of Justice (https://www.justice.gov/agencies/chart/map) - Published: 2019-09-21 
    Office of the Attorney General · Office of the Deputy Attorney General · Office of the Associate Attorney General · Office of the Solicitor General...

[6] Department of Justice - U.S. Government Manual (https://www.usgovernmentmanual.gov/Agency?EntityId=8iPvf%2FKZKuk%3D&ParentEId=+klubNxgV0o%3D&EType=jY3M4CTKVHY%3D) - Published: 2019-12-01 
    Under the leadership of the Attorney General, the DOJ comprises approximately 40 separate component organizations with approximately 116,000 employ...

[7] What does the Department of Justice (DOJ) do? - USAFacts (https://usafacts.org/explainers/what-does-the-us-government-do/agency/us-department-of-justice/) - Published: 2025-05-02 
    The Department of Justice (DOJ, Justice Department) is an executive branch agency responsible for enforcing federal laws and ensuring public safety.

[8] [PDF] Organization Chart - Office of Justice Programs (https://www.ojp.gov/sites/g/files/xyckuh241/files/archives/financial_guides/financialguide06/part4/doj_orgchart.pdf) - Updated: 2025-10-22 
    PART IV CHAPTER 1: ORGANIZATION STRUCTURE. U.S. Department of Justice. Organization Chart. OFFICE OF JUSTICE. PROGRAMS. EXECUTIVE OFFICE. FOR UNITED.

[9] Subpart A—Organizational Structure of the Department of Justice (https://www.ecfr.gov/current/title-28/chapter-I/part-0/subpart-A) - Published: 2025-01-17 
    Table 1 to § 0.1. Offices: Office of the Attorney General. Office of the Deputy Attorney General. Office of the Associate Attorney General."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in ISRAEL?",,JUSTICE,ISRAEL,Ministry of Justice of Israel,ConfidenceLevel.HIGH,"[1] Ministry of Justice of Israel - Wikidata (https://www.wikidata.org/wiki/Q19315413) - Published: 2022-06-28 
    Israeli Justice Ministry; Justice Ministry of Israel; Israeli Ministry of Justice. In more languages. Spanish. Ministerio de Justicia de Israel.

[2] [PDF] Israel - Governmental Experts List - Unodc (https://www.unodc.org/documents/treaties/UNCAC/IRG-Experts/English/SecondCycle/Israel_E.pdf) - Updated: 2025-05-08 
    Country name. Family name(s). First name(s). Present position. Israel. Merari. Amit. Director, Legislative Department (Criminal Law), Ministry of J...

[3] [PDF] The Minister of Justice of Israel is the Central Authority (https://rm.coe.int/israel-template-mla-2017/1680713e6b) - Published: 2017-05-15 
    The Minister of Justice of Israel is the Central Authority responsible for incoming requests for legal assistance.

[4] Contact Information: Israel - WIPO (https://www.wipo.int/directory/en/contact.jsp?country_code=IL) - Published: 2016-01-01 
    Deputy Attorney General (Civil Law): Ms. Carmit Yulis. Industrial Property Offices. Competent administration, Israel Patent Office Ministry of Just...

[5] Israeli Ministry of Justice - Jewish Virtual Library (https://www.jewishvirtuallibrary.org/israeli-ministry-of-justice) - Published: 2025-01-01 
    The Minister of Justice heads the Ministry of Justice and is responsible to the Knesset for the Ministry and the courts system. The Ministry has tw...

[6] All Governments of Israel (https://m.knesset.gov.il/en/mk/government/pages/governments.aspx) 
    On June 30, 2024, the Government decided to change the name of the Ministry of Agriculture and Rural Development to the Ministry of Agriculture and...

[7] Ministry of Justice (Israel) - Kids encyclopedia facts (https://kids.kiddle.co/Ministry_of_Justice_(Israel)) - Published: 2021-01-01 
    The Justice Ministry (also called Misrad HaMishpatim in Hebrew) is a very important part of the Israeli government. It's like the main office that ..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in MARSHALL ISLANDS?",,JUSTICE,MARSHALL ISLANDS,"Ministry of Justice, Immigration and Labor of the Marshall Islands",ConfidenceLevel.HIGH,"[1] Ministry of Justice (Marshall Islands) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_(Marshall_Islands)) - Published: 2025-03-08 
    The role of the ministry is to promote the safety of its citizens, oversee the administration of the Attorney General, prosecute criminal cases, de...

[2] The Judiciary's Courts and Personnel (https://rmicourts.org/the-judiciarys-courts-and-personnel/) - Published: 2025-08-19 
    The Marshall Islands judiciary (“Judiciary”) includes a supreme court, high court, traditional rights court, district court, and community courts

[3] Marshall Islands - Interpol (https://www.interpol.int/en/Who-we-are/Member-countries/Asia-South-Pacific/MARSHALL-ISLANDS) - Published: 2024-01-10 
    Created in 1952, MIPD is part of the Ministry of Justice. Headed by a Police Commissioner, the force is responsible for law enforcement throughout ...

[4] Republic of the Marshall Islands Judiciary – Committed to Justice (https://rmicourts.org) - Published: 2024-10-18 
    Welcome to the Marshall Islands Judiciary's web site. The site, reflecting the Judiciary's continuing commitment to providing access to justice ...

[5] Republic of the Marshall Islands (RMI) - Laws of South Pacific Island ... (https://law-hawaii.libguides.com/pacificislands/RMI) - Published: 2023-07-13 
    The RMI legal system is a mixed legal system of US and English common law, customary law, and local statutes.

[6] Marshall Islands – Division of Immigration – RMI Divison of ... (https://rmiimmigration.org) - Published: 2022-06-01 
    RMI Immigration is mandated to provide an efficient and effective immigration service through the application and enforcement of the Immigration La...

[7] Ministers - Office of the President & Cabinet (RMI) (https://rmigov.com/?page_id=13) - Published: 2025-01-21 
    Ministers ; Hon. Bremity Lakjohn. Minister-In-Assistance to the President & Environment ; Hon. Kalani Kaneko. Minister of Foreign Affairs & Trade ;...

[8] Government Agencies - Mundo Expert (https://mundo.expert/en/Countries/Details/419?CountryId=145) - Published: 2025-01-01 
    Republic of the Marshall Islands Judiciary. The MI judiciary is the institution responsible for administering justice in the country. Ministry of F...

[9] 2022 Country Reports on Human Rights Practices: Marshall Islands (https://www.state.gov/reports/2022-country-reports-on-human-rights-practices/marshall-islands) - Published: 2025-01-03 
    The national police and Sea Patrol report to the Ministry of Justice; local police report to their respective local government councils. Civilian ...

[10] Republic of the Marshall Islands (RMI) - WICHE (https://www.wiche.edu/our-region/republic-of-the-marshall-islands/) - Published: 2025-04-29 
    Since 2021, the Republic of the Marshall Islands (RMI) has partnered with and benefited from WICHE through regional collaboration, resource-sharing..."
